,Artist Name,Followers,Popularity
0,Selena Gomez,12422008,91
1,Selena Gomez & The Scene,3223743,68
2,LJ Bey (Featuring Selena Gomez),617,1
3,Selena Gomez Karaoke Band,505,1
4,Made famous by Selena Gomez,62,0
5,Ariana Grande,20777477,97
6,Zeteck & Ariana Grande,135,1
7,Drake,29616937,100
8,Nick Drake,313423,63
9,Drake White,46464,52
10,Drake Bell,207336,60
11,Drake,21,47
12,Jamie Drake,435,46
13,Christopher Drake,5348,46
14,Eleni Drake,348,33
15,Pete Drake,1916,32
16,Drake Chisholm,1480,31
17,Drake,2381,29
18,Seth Drake,72,27
19,Ludwig Von Drake,224,29
20,Lil Baby Drake,710,29
21,Molly Drake,5101,31
22,Drake Jackson,12,24
23,Nathan Drake,287,23
24,Julius Drake,1180,27
25,Cordell Drake,160,19
26,Gabrielle Drake,75,25
27,Alfred Drake,953,18
28,David Drake,71,15
29,Ashley Drake,6,12
30,Dusty Drake,252,12
31,Drake,12557,14
32,Hamid Drake,801,17
33,Dennis M. Drake,0,14
34,Aubrey Drake Graham,13,20
35,Drake Hayes Band,97,10
36,Drake,116,13
37,Alan Davis Drake,0,27
38,Sir-Franchise Drake,0,8
39,Charlie Drake,1136,19
40,Michael Drake,393,13
41,Drake The Ruler & 03 Greedo,10,10
42,Drake,23,6
43,Drake,44,9
44,"Julius Drake, Ian Bostridge",30,8
45,Drake Stafford,216,17
46,Tom Drake,8,7
47,Drake Delgado,0,8
48,Angharad Drake,522,14
49,"Mixed By Stephen Hague And Mike ""Spike"" Drake",9,26
50,Drake University Wind Symphony,72,6
51,DJ Florence Drake,79,14
52,Drake,114,39
53,LakeSide Drake,12,4
54,Drake Armstrong,1,4
55,Ervin Drake,18,11
56,Martin Drake,7,12
57,Khalid,3974765,96
58,Khaled,138596,60
59,DJ Khalid,5634,41
60,Khalid,668,20
61,Khalid,2673,18
62,Nouman Khalid,407,20
63,Khalid Barzanji,28,21
64,Khalid Kouhen,25,22
65,King Khalid,765,20
66,Khalid Bennani,576,20
67,Khaled Selim,3605,19
68,DJ Khalid,130,20
69,Khalid Belrhouzi,847,16
70,Devan & Khalid,320,8
71,Khalid El Jalil,540,16
72,Khalid Knight,12,4
73,DJ Khalid,573,10
74,Khalid Martin,1,4
75,Khalid Brigth,2,18
76,Khaled Abdul Rahman,3181,16
77,Khalid,3,2
78,Khalid,14,2
79,Khalid,82,0
